Format,MAPE,MAE,R2_Score,Within_20%,Period,Weighted_MAPE,PICP (%),SMAPE,MASE
odi,0.055,202.38,0.962,1.000,2000-2004,0.059,100.0,0.054,0.218
test,0.149,590.75,0.727,0.636,2000-2004,0.163,72.7,0.158,0.32
odi,0.157,406.42,0.912,0.786,2002-2006,0.117,92.9,0.148,0.212
test,0.216,457.21,0.876,0.714,2002-2006,0.13,78.6,0.188,0.247
odi,0.088,275.95,0.921,0.923,2004-2008,0.091,92.3,0.082,0.294
test,0.145,351.85,0.936,0.769,2004-2008,0.112,92.3,0.137,0.348
odi,0.111,322.99,0.921,0.875,2006-2010,0.109,100.0,0.218,0.223
test,0.195,376.84,0.9,0.647,2006-2010,0.137,94.1,0.174,0.334
test,0.324,255.61,0.961,0.714,2008-2012,0.121,100.0,0.233,0.216
odi,0.155,493.63,0.835,0.692,2008-2012,0.149,84.6,0.156,0.293
test,0.316,353.71,0.901,0.667,2010-2014,0.143,83.3,0.205,0.246
odi,0.192,479.72,0.825,0.556,2010-2014,0.18,83.3,0.186,0.265
odi,0.155,321.09,0.897,0.800,2012-2016,0.144,100.0,0.151,0.233
t20i,0.247,107.49,0.815,0.526,2012-2016,0.175,94.7,0.207,0.297
test,0.209,309.38,0.921,0.647,2012-2016,0.16,94.1,0.183,0.227
odi,0.202,631.29,0.747,0.400,2014-2018,0.2,66.7,0.205,0.488
t20i,0.324,159.4,0.828,0.500,2014-2018,0.239,95.0,0.262,0.269
test,0.893,258.24,0.928,0.538,2014-2018,0.199,100.0,0.306,0.163
odi,0.162,505.94,0.558,0.688,2016-2020,0.172,81.2,0.177,0.542
t20i,0.268,160.06,0.892,0.609,2016-2020,0.208,91.3,0.238,0.33
test,0.205,380.67,0.827,0.556,2016-2020,0.182,88.9,0.186,0.485
odi,0.137,262.85,0.91,0.867,2018-2022,0.115,100.0,0.132,0.205
t20i,0.189,141.44,0.902,0.688,2018-2022,0.126,88.2,0.28,0.201
test,0.176,329.92,0.9,0.615,2018-2022,0.153,100.0,0.157,0.315
t20i,0.146,158.51,0.835,0.667,2020-2024,0.158,83.3,0.142,0.302
test,0.241,393.19,0.866,0.462,2020-2024,0.21,92.3,0.22,0.312
odi,0.142,159.65,0.873,0.700,2020-2024,0.132,100.0,0.133,0.081
